Dialogue ID,Dialogue,Character Name,Banter
2040,"Welcome! Welcome to another year at Hogwarts! Now, I'd like to say a few words... before we all become too befuddled by our excellent feast. First, I'm pleased to welcome Professor R.J. Lupin... who's kindly consented to fill the post... of Defense Against the Dark Arts teacher. Good luck, Professor.",Albus Dumbledore,0
4603,"Voldemort had an informant listening to my meeting with Professor Trelawney. Fortunately he was discovered before he could hear the entire prophesy. Voldemort had to act immediately, he didn't know the rest of the prophesy. All he knew was that he had to destroy the child who would grow to be a threat to his power.",Albus Dumbledore,0
2938,Harry! Did you put your name in the goblet of fire?,Albus Dumbledore,0
5613,Nooooooo!!!,Albus Dumbledore,1
2658,Professor Dippet had that ling planted when he was headmaster.,Albus Dumbledore,0
3323,"A man has died here. And he won't be the last, you must take action.",Albus Dumbledore,0
4544,What can't I know?,Albus Dumbledore,1
5639,"No, Harry.  I do not pray.  I was merely closing a window -- the one that had allowed us to Apparate.",Albus Dumbledore,0
5312,Now I want you to persuade him to divulge his true memory.  Any way you can.,Albus Dumbledore,0
7321,Did. It was just destroyed only moments ago by none other than Voldemort himself.,Albus Dumbledore,0
2660,"And all the strawberries, you see?.",Albus Dumbledore,1
7244,He has her eyes.,Albus Dumbledore,1
1866,"Before we begin the feast, let us have a round of applause for Professor Sprout and Madame Pomfrey, whose Mandrake juice has been so successfully administered to all who had been Petrified. Also, in light of the recent events, as a school treat, all exams have been canceled.",Albus Dumbledore,0
872,"And finally: it takes a great deal of bravery to stand up to your enemies, but a great deal more to stand up to your friends. I award ten points to Neville Longbottom!  Assuming that my calculations are correct, I believe that a change of decoration is in order!  Gryffindor wins the House Cup!",Albus Dumbledore,0
1441,Hagrid.,Albus Dumbledore,1
3325,Then for once show them some.,Albus Dumbledore,1
2935,Harry Potter!,Albus Dumbledore,1
3793,"Additionally, we have Professor Umbridge, who has kindly agreed to fill the post of Defense Against the Dark Arts--",Albus Dumbledore,0
4110,This is Firenze.,Albus Dumbledore,1
3792,"Also, we have two staffing changes this year. Professor Grubby-Plank will be taking the post of Care of Magical Creatures post as Professor Hagrid is on...extended leave.",Albus Dumbledore,0
1830,"Fortunately, our young Mr. Potter discovered it. One hopes that no more of Lord Voldemort's old school things should find their way into innocent hands. The consequences for the one responsible would be severe.",Albus Dumbledore,0
4555,"Haven't you wondered why I haven't spoken to you, even looked at you, for months?",Albus Dumbledore,0
4715,That was fun.  May I use the loo?,Albus Dumbledore,1
4732,"I fear I may have stolen a wondrous night from you, Harry. She was, truthfully, very pretty. The girl.",Albus Dumbledore,0
4986,I did.,Albus Dumbledore,1
4706,Dragon's blood.,Albus Dumbledore,1
5592,Careful.  The water.,Albus Dumbledore,1
4593,"An excellent question, Harry. The answer lies in the prophesy.",Albus Dumbledore,0
2942,You're absolutely sure?,Albus Dumbledore,1
4709,"So why all the theatrics, Horace? You weren't perhaps expecting someone else, were you?",Albus Dumbledore,0
4520,Harry!,Albus Dumbledore,1
5630,We have to... go.,Albus Dumbledore,1
4510,"You should not have come here tonight, Tom.",Albus Dumbledore,0
2957,"I agree with Severus. Alastor, keep an eye on Harry will you?",Albus Dumbledore,0
5635,No.  Severus... Severus is who I need... Go and wake him... Tell him what has happened...,Albus Dumbledore,0
7227,That wasn't my intention.,Albus Dumbledore,0
4946,This vial contains a most particular memory -- of the day I first met him.  I'd like you to see it.  If you would...,Albus Dumbledore,0
5553,"Once again, I shall ask too much of you.",Albus Dumbledore,1
4610,Yes.,Albus Dumbledore,1
5596,Perhaps not.,Albus Dumbledore,1
4695,Indeed.  And quite successfully I might add.  Most people vomit their first time.,Albus Dumbledore,0
7356,"Do not pity the dead, Harry. Pity the living and, above all, those who live without love.",Albus Dumbledore,0
4969,"I'm like you, Tom.  Different.",Albus Dumbledore,1
2874,For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch.,Albus Dumbledore,0
3734,Excellent.,Albus Dumbledore,1
4727,"I think I know a lost cause when I see one.  Regrettable.  I would have considered it a personal triumph had you consented to return to Hogwarts, Horace.  You are, like my friend Mr. Potter -- one of a kind.",Albus Dumbledore,0
4966,"Tell me some of the things you can do, Tom.",Albus Dumbledore,0
7274,Lily. After all this time?,Albus Dumbledore,1
7329,"King's Cross! Is that right? Well, this is, as they say, your party.",Albus Dumbledore,0
5314,"You're the Chosen One, Harry.  And Horace is, at heart, a decent man. Provide the proper circumstances and he will confess his sins.",Albus Dumbledore,0
4536,"The Second War has begun, Minister.",Albus Dumbledore,0
5602,Remember... the water.,Albus Dumbledore,1
3463,Is he in this room? Is he in this room?,Albus Dumbledore,0
3290,"Welcome to the second task. Last night something was stolen from each of our champions. A treasure of sorts. These four treasures, one for each champion, now lie on the bottom of the black lake. In order to win each champion need only find their treasure and return to the surface. Simple enough. Except for this, they will have one hour to do so and one hour only. After that they'll be on their own.",Albus Dumbledore,0
4071,"Phineas, I need you to visit your other portrait. Tell Sirius what happened and that we are coming to stay for a while.",Albus Dumbledore,0
4577,"She was quite right, Harry. Kreacher is what wizards have made him. He is to be pitied, not hated.",Albus Dumbledore,0
4534,Portus.,Albus Dumbledore,1
2885,"The goblet of fire. Anyone wishing to submit themselves for the tournament merely write their name upon a piece of parchment and throw it in the flame before this hour on Thursday night. Do not do so lightly, if choosen there's no turning back. As from this moment the tri-wizard tournament has begun.",Albus Dumbledore,0
2932,"Excellent! we now have our three champions! But in the end only one will go down in history. Only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!",Albus Dumbledore,0
