Dialogue ID,Dialogue,Character Name
473,"Ron's right, Harry. You're gonna need your strength today.",Hermione Granger
477,Blood?,Hermione Granger
479,But why would anyone go near that dog?,Hermione Granger
481,So you're saying...,Hermione Granger
483,"Bit early for mail, isn't it?",Hermione Granger
513,It's Snape! He's jinxing the broom!,Hermione Granger
515,Leave it to me.,Hermione Granger
517,Lacarnum Inflamarae.,Hermione Granger
527,Whoo-hoo!,Hermione Granger
533,That thing has a name?,Hermione Granger
539,"Hogwarts teacher or not, I know a spell when I see one. I've read all about them. You've got to keep eye contact and Snape wasn't blinking.",Hermione Granger
545,I don't know.,Hermione Granger
549,That's totally barbaric!,Hermione Granger
551,See you haven't.,Hermione Granger
553,"Good, you can help Harry, then. He's going to go and look in the library for information on Nicholas Flamel.",Hermione Granger
555,Not in the restricted section. Happy Christmas.,Hermione Granger
600,Look at you playing with your cards. Pathetic! We've got final exams coming up soon.,Hermione Granger
602,"All right, what are the three most crucial ingredients in a Forgetfulness Potion?",Hermione Granger
604,"And what, may I ask, do you plan to do if this comes up in the final exam?",Hermione Granger
606,"No, you won't! Besides, according to Professor McGonagall, we're to be given special quills bewitched with an anti-cheating spell.",Hermione Granger
620,Follow me!,Hermione Granger
622,I had you looking in the wrong section! How could I be so stupid? I checked this out a few weeks ago for a bit of light reading.,Hermione Granger
624,"Of course! Here it is!  ""Nicholas Flamel is the only known maker of the Philosopher's Stone!""",Hermione Granger
627,"Honestly, don't you two read? ""The Philosopher's Stone is a legendary substance with astonishing powers. It will turn any metal into pure gold and produces the Elixir of Life, which will make the drinker immortal.""",Hermione Granger
629,It means you'll never die.,Hermione Granger
632,"""The only stone currently in existence belongs to Mr. Nicholas Flamel, the noted alchemist, who last year celebrated his 665th birthday!"" That's what Fluffy's guarding on the 3rd floor. That's what's under the trapdoor...the Philosopher's Stone!",Hermione Granger
636,We know about the Philosopher's Stone!,Hermione Granger
646,"Of course! There are other things defending the Stone, aren't there? Spells, enchantments.",Hermione Granger
652,Is that...a dragon?,Hermione Granger
672,"Well, that's good, isn't it? He'll be with his own kind.",Hermione Granger
697,Harry!,Hermione Granger
700,"You mean You-Know-Who's out there, right now, in the forest?",Hermione Granger
705,"Hang on a minute.  We're forgetting one thing. Who's the one wizard Voldemort always feared? Dumbledore. As long as Dumbledore's around, Harry, you're safe. As long as Dumbledore's around, you can't be touched.",Hermione Granger
706,"I've always heard Hogwarts' end of the year exams were frightful, but I found that rather enjoyable.",Hermione Granger
709,It's happened before.,Hermione Granger
713,What is it?,Hermione Granger
728,And with Dumbledore gone,Hermione Granger
730,Uh...we were just...,Hermione Granger
732,Now what do we do?,Hermione Granger
739,"Neville, I'm really, really sorry about this... Petrificus Totalus.",Hermione Granger
742,Sorry.,Hermione Granger
744,Ow! You stood on my foot!,Hermione Granger
746,Alohomora.,Hermione Granger
753,The harp. It stopped playing.,Hermione Granger
758,"Stop moving, both of you. This is Devil's Snare. You have to relax. If you don't, it will only kill you faster.",Hermione Granger
763,Just relax!,Hermione Granger
765,Do what I say. Trust me.,Hermione Granger
768,Are you okay?,Hermione Granger
771,"He's not relaxing, is he?",Hermione Granger
774,We've got to do something!,Hermione Granger
776,Uh! I remember reading something in Herbology.,Hermione Granger
778,"Um Devil's Snare, Devil's Scare,  it's deadly fun...but will sulk in the sun! That's it! Devil's Snare hates sunlight!  Lumos Solem!",Hermione Granger
785,What is that?,Hermione Granger
787,Curious. I've never seen birds like these.,Hermione Granger
789,What's this all about?,Hermione Granger
792,Ugh! What're we going to do? There must be 1000 keys up there!,Hermione Granger
795,"What's wrong, Harry?",Hermione Granger
801,I don't like this. I don't like this at all.,Hermione Granger
805,Now what do we do?,Hermione Granger
807,What happens now?,Hermione Granger
809,"Ron, you don't suppose this is going to be like...real wizard's chess, do you?",Hermione Granger
815,What is it?,Hermione Granger
817,"No, Ron, you can't!  There must be another way!",Hermione Granger
822,"You'll be okay, Harry. You're a great wizard, you really are.",Hermione Granger
824,"Me? Books and cleverness? There are more important things. Friendship, and bravery. And Harry, just be careful.",Hermione Granger
869,Never better.,Hermione Granger
871,We're tied with Slytherin!,Hermione Granger
877,"Come on, Harry.",Hermione Granger
884,"Feels strange to be going home, doesn't it?",Hermione Granger
1043,Harry! Hagrid!,Hermione Granger
1045,"Oh, it's so good to see you!",Hermione Granger
1047,What did you do to your glasses? Oculus reparo.,Hermione Granger
1050,Ok! Bye!,Hermione Granger
1052,Come on! Everyone's been so worried.,Hermione Granger
1069,Fear of a name only increase fear of the thing itself.,Hermione Granger
1147,"Mandrake, or Mandragora, is used to return those who have been Petrified to their original state. It's also quite dangerous. The Mandrake's cry is fatal to anyone who hears it.",Hermione Granger
1176,Get off me!,Hermione Granger
1184,Immobulus!,Hermione Granger
1197,At least no one on the Gryffindor team had to buy their way in. They got it on pure talent.,Hermione Granger
1202,"You okay, Ron? Say something!",Hermione Granger
1213,He called me a Mudblood.,Hermione Granger
1216,It means dirty blood.â Mudblood's a really foul name for someone who is Muggle-born. Someone with non-magic parents. Someone like me. It's not a term one usually hears in civilized conversation.,Hermione Granger
1233,Harry!,Hermione Granger
1237,Voice? What voice?,Hermione Granger
1242,"Harry, wait! Not so fast!",Hermione Granger
1245,The Chamber of Secrets has been opened enemies the heir beware.' It's written in blood.,Hermione Granger
1263,"That's why Ron and I went looking for him, Professor. We'd just found him when he said",Hermione Granger
1269,"It's a bit strange, isn't it?",Hermione Granger
1271,"You hear this voice, a voice only you can hear, and then Mrs. Norris turns up Petrified. It's just strange.",Hermione Granger
1274,"No, Harry. Even in the wizarding world, hearing voices isn't a good sign.",Hermione Granger
1280,"Professor, I was wondering if you could tell us aboutthe Chamber of Secrets?",Hermione Granger
1284,Muggle-borns.,Hermione Granger
1286,Professor? What exactly does legend tell us lies within the Chamber?,Hermione Granger
1289,Yes. Couldn't you tell? McGonagall's worried. All the teachers are.,Hermione Granger
1291,"The Heir of Slytherin has returned to Hogwarts. The question is, who is it?",Hermione Granger
1293,If you're talking about Malfoy.,Hermione Granger
1295,"I heard him. But Malfoy, the Heir of Slytherin?",Hermione Granger
1298,"Even they aren't that thick. But there might be another way. Mind you, it would be difficult. Not to mention, we would be breaking about fifty school rules. And, it'll be dangerous. Very dangerous.",Hermione Granger
1299,"Here it is. 'The Polyjuice Potion.'  'Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another.'",Hermione Granger
1301,Yes.,Hermione Granger
1303,Exactly. But it's tricky. I've never seen a more complicated potion.,Hermione Granger
1305,A month.,Hermione Granger
1307,I know. But it's the only plan we've got.,Hermione Granger
1316,No! Even with a proper wand it's too risky. You could hit Harry!,Hermione Granger
1319,Let's go.,Hermione Granger
1321,Finite incantatem!,Hermione Granger
1323,Are you okay?,Hermione Granger
1337,"You will be able to, won't you?",Hermione Granger
1370,Again? You mean the Chamber of Secrets has been opened before?,Hermione Granger
1372,Maybe. We'll have to wait for the Polyjuice Potion to know for sure.,Hermione Granger
1374,Heh No. No one ever comes in here.,Hermione Granger
1376,Moaning Myrtle.,Hermione Granger
1378,Moaning Myrtle.,Hermione Granger
1381,She's a little sensitive.,Hermione Granger
1385,Do you think he's all right?,Hermione Granger
1398,Oh!,Hermione Granger
1410,You can talk to snakes.,Hermione Granger
1412,"No, they can't. It's not a very common gift, Harry. This is bad.",Hermione Granger
1418,"I don't know, Harry, but it sounded like you were egging the snake on, or something. Harry, listen to me. There's a reason the symbol of Slytherin House is a serpent. Salazar Slytherin was a Parselmouth. He could talk to snakes, too.",Hermione Granger
1421,"He lived a thousand years ago; for all we know, you could be.",Hermione Granger
1450,Everything's set. We just need a bit of who you're changing into.,Hermione Granger
1452,We also need to make sure that the real Crabbe and Goyle can't burst in on us while we're interrogating Malfoy.,Hermione Granger
1454,"I've got it all worked out. I filled these with a simple Sleeping Draught. Simple, but powerful. Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs, and put on their uniforms.",Hermione Granger
1456,I've already got mine. Millicent Bulstrodeâ Slytherin- I got this off her robes. I'm going to go check on the Polyjuice Potion. Make sure that Crabbe and Goyle find these.,Hermione Granger
1466,We'll have exactly one hour before we change back into ourselves Add the hairs.,Hermione Granger
1468,Cheers!,Hermione Granger
1470,Me too.,Hermione Granger
1479,I- I don't think I'm going. You go on without me!,Hermione Granger
1481,Just go. You're wasting time!,Hermione Granger
1511,Go away!,Hermione Granger
1515,Do you remember me telling you that the Polyjuice Potion was only for human transformations? It was cat's hair I plucked off Millicent Bulstrode's robes. Look at my face.,Hermione Granger
1566,It can't be Hagrid. It just can't be.,Hermione Granger
1569,Look. Hagrid's our friend. Why don't we just go and ask him about it?,Hermione Granger
1574,No!,Hermione Granger
1579,It had to be a Gryffindor. Nobody else knows our password- unless it wasn't a student.,Hermione Granger
1859,"Thanks, Sir Nicholas!",Hermione Granger
1862,It's good to be back! Congratulations! I can't believe you solved it!,Hermione Granger
1864,Thanks.,Hermione Granger
1867,"Oh, no!",Hermione Granger
1957,"It's a cat, Ronald. What do you expect? It's in his nature.",Hermione Granger
1959,"That's rich... coming from the owner of that smelly old shoe brush. Crookshanks, just ignore the mean little boy.",Hermione Granger
1961,Harry.,Hermione Granger
1964,You know the Egyptians used to worship cats?,Hermione Granger
1988,"Good morning, Mr. Weasley.",Hermione Granger
2006,"Honestly, Ron, it's not funny. Harry was lucky not to be expelled.",Hermione Granger
2009,Come on. Everywhere else is full.,Hermione Granger
2011,Professor R.J. Lupin.,Hermione Granger
2013,"It's on his suitcase, Ronald.",Hermione Granger
2016,Seems to be. Why?,Hermione Granger
2020,"But they'll catch Black, won't they? I mean, everyone's looking for him.",Hermione Granger
2023,Why are we stopping? We can't be there yet.,Hermione Granger
2026,"Ouch, Ron. That was my foot.",Hermione Granger
2029,"Harry. Harry, are you all right?",Hermione Granger
2039,"No one was screaming, Harry.",Hermione Granger
2041,"Of course. That's why he knew to give you the chocolate, Harry.",Hermione Granger
2045,Just forget it.,Hermione Granger
2060,What a load of rubbish.,Hermione Granger
2062,Me? I've been here all this time.,Hermione Granger
2072,"Oh, honestly, Ron. If you ask me, Divination's a woolly discipline. Now, Ancient Runes, that's a fascinating subject.",Hermione Granger
2074,A fair few.,Hermione Granger
2076,Don't be silly Ron. How could anyone be in two classes at once? Broaden your minds. Use your Inner Eye to see the future!.,Hermione Granger
2082,I think they're funny.,Hermione Granger
2086,Just ignore him.,Hermione Granger
2104,Hagrid! He has to be taken to the hospital.,Hermione Granger
2113,Yeah but I heard Draco's father's furious. We haven't heard the end of this.,Hermione Granger
2117,Dufftown? That's not far from here.,Hermione Granger
2124,No one knows.,Hermione Granger
2126,Boggarts are shape-shifters. They take the shape of whatever a particular person fears the most. That's what makes them so...,Hermione Granger
2168,"It's not funny, Ron.",Hermione Granger
2199,"But sir, we just learned about red caps and hinkypunks. We're not meant to start that for weeks.",Hermione Granger
2203,"Please, sir. An Animagus is a wizard who elects to turn into an animal. A werewolf has no choice. With each full moon, when he transforms, he no longer remembers who he is. He'd kill his best friend if he crossed his path. Furthermore, the werewolf only responds to the call of its own kind.",Hermione Granger
2209,"Go, Harry! Go, Harry!",Hermione Granger
2215,How are you feeling?,Hermione Granger
2221,"Umm... no one blames you, Harry. The dementors aren't supposed to come inside the grounds. Dumbledore's furious. As soon as he saved you, he sent them off.",Hermione Granger
2277,It's meant to be the most haunted building in Britain. Did I mention that?,Hermione Granger
2279,Do you want to move a bit closer?,Hermione Granger
2285,Hope you don't mean yourself!,Hermione Granger
2291,Harry!,Hermione Granger
2294,But Harry isn't going to keep it. He's going to turn it over to Professor McGonagall. Aren't you?,Hermione Granger
2296,"Oh, Look who it is. Madam Rosmerta. Ron fancies her.",Hermione Granger
2310,Harry!,Hermione Granger
2312,So rude.,Hermione Granger
2332,"Ron, look! Sorry, sorry. Excuse me, excuse me, sorry. Harry, what happened?",Hermione Granger
2353,Beautiful day.,Hermione Granger
2357,Ronald has lost his rat.,Hermione Granger
2359,Rubbish.,Hermione Granger
2361,"Well, maybe you should take better care of your pets!",Hermione Granger
2363,Did not.,Hermione Granger
2365,Didn't.,Hermione Granger
2366,"How did it go, Hagrid? The hearing?",Hermione Granger
2368,And then?,Hermione Granger
2412,"Oh, do you mind me trying? The Grim, possibly.",Hermione Granger
2425,I can't believe they're going to kill Buckbeak. It's just too horrible.,Hermione Granger
2428,"You! You foul, loathsome, evil little cockroach!",Hermione Granger
2432,That felt good.,Hermione Granger
2437,"We'll stay with you too, Hagrid.",Hermione Granger
2441,I think that means you owe someone an apology.,Hermione Granger
2443,I meant me!,Hermione Granger
2465,I thought I just saw... Never mind.,Hermione Granger
2470,Ron. Ron! Ron!,Hermione Granger
2474,"Harry, you do realize what tree this is?",Hermione Granger
2477,"Ron! Ron, wait! Harry!",Hermione Granger
2480,Duck!,Hermione Granger
2481,Harry!,Hermione Granger
2482,"Oh, I'm sorry.",Hermione Granger
2484,Where do you suppose this goes?,Hermione Granger
2486,"We're in the Shrieking Shack, aren't we?",Hermione Granger
2488,Ron. You're okay. The dog. Where is it?,Hermione Granger
2490,"If you want to kill Harry, you'll have to kill us too!",Hermione Granger
2500,"No! I trusted you! And all this time, you've been his friend. He's a werewolf! That's why he's been missing classes.",Hermione Granger
2502,Since Professor Snape set the essay.,Hermione Granger
2528,You attacked a teacher!,Hermione Granger
2562,"You go, I'll stay.",Hermione Granger
2565,That looks really painful.,Hermione Granger
2567,I'm sure Madam Pomfrey will fix it in a heartbeat.,Hermione Granger
2578,Harry!,Hermione Granger
2581,Harry!,Hermione Granger
2584,Wait! Wait!,Hermione Granger
2586,Professor? Professor Lupin?,Hermione Granger
2592,Harry?,Hermione Granger
2594,What?,Hermione Granger
2596,"Listen Harry, they've captured Sirius. Any minute the dementors are going to perform the Kiss.",Hermione Granger
2598,"No. It's worse. Much worse. They're going to suck out his soul. Headmaster, you've got to stop them. They've got the wrong man.",Hermione Granger
2603,"The point is, we know the truth. Please believe us.",Hermione Granger
2606,"Sorry, Ron, but seeing as you can't walk...",Hermione Granger
2608,7:30. Where were we at 7:30?,Hermione Granger
2610,Come on. And we can't be seen.,Hermione Granger
2612,"You foul, loathsome, evil little cockroach!",Hermione Granger
2616,"This is a Time-Turner, Harry. McGonagall gave it to me first term. This is how I've been getting to my lessons all year.",Hermione Granger
2618,"Yes. Dumbledore obviously wanted us to return to this moment. Clearly, something happened he wants us to change.",Hermione Granger
2620,Thanks. Malfoy's coming.,Hermione Granger
2623,That felt good.,Hermione Granger
2627,"Of course. Remember what Dumbledore said? If we succeed, more than one innocent life could be spared. Let's go.",Hermione Granger
2629,"Fudge has to see Buckbeak before we steal him. Otherwise, he'll think Hagrid set him free.",Hermione Granger
2633,"Harry, you can't.",Hermione Granger
2635,"Yes, and you must! Harry, you're in Hagrid's hut now. If you just go bursting in, you'll think you've gone mad. Awful things happen to wizards who meddle with time. We can't be seen.",Hermione Granger
2636,Fudge is coming. And we aren't leaving? Why aren't we leaving?,Hermione Granger
2640,Sorry. We're coming out the back door. Go!,Hermione Granger
2641,Is that really what my hair looks like from the back?,Hermione Granger
2643,I thought I just saw... Never mind.,Hermione Granger
2645,"Okay, go, Harry. Go!",Hermione Granger
2649,"Okay, Buckbeak. Come quickly. Come with us now. Come on.",Hermione Granger
2650,Keep trying. Come on. Quickly. Buckbeak. Okay? Quickly. Hurry up. Okay?,Hermione Granger
2653,"Hurry up now, Buckbeak, okay? Come on. Come on, Buckbeak. Come and get the nice dead ferret. Come on. It's here. Come on, Beaky.",Hermione Granger
2661,"Come on, Buckbeak. Come on.",Hermione Granger
2674,Buckbeak.,Hermione Granger
2680,We save Sirius.,Hermione Granger
2682,No idea. Look. It's Lupin.,Hermione Granger
2684,And Snape's coming.,Hermione Granger
2686,And now we wait.,Hermione Granger
2687,At least someone's enjoying himself.,Hermione Granger
2689,Yeah?,Hermione Granger
2691,With a Patronus. I heard Snape telling Dumbledore. According to him... only a really powerful wizard could have conjured it.,Hermione Granger
2693,"Harry, but your dad's... Dead. I know. I'm just telling you what I saw.",Hermione Granger
2694,Here we come.,Hermione Granger
2696,That's great.,Hermione Granger
2698,Harry! Run!,Hermione Granger
2700,Saving your life!,Hermione Granger
2702,"Yeah, I didn't think about that. Run!",Hermione Granger
2703,That was so scary.,Hermione Granger
2705,This is horrible.,Hermione Granger
2707,"Harry, listen to me. No one's coming.",Hermione Granger
2709,You're dying... both of you. Harry!,Hermione Granger
2712,No.,Hermione Granger
2713,But I don't like flying...!,Hermione Granger
2714,Bombarda!,Hermione Granger
2722,We have to go.,Hermione Granger
2727,"What's he talking about, Harry?",Hermione Granger
2749,This came with it.,Hermione Granger
2752,"How fast is it, Harry?",Hermione Granger
2760,Harry!,Hermione Granger
2761,Are you alright?,Hermione Granger
2763,Just now. You?,Hermione Granger
2765,Wake up. Wake up Ronald!,Hermione Granger
2767,"Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready.",Hermione Granger
2789,What??,Hermione Granger
2837,Harry it's his mark.,Hermione Granger
2854,"This is horrible, how can the ministry not know who conjured it. Isn't there any security or?",Hermione Granger
2856,"It's hurting again isn't it, your scar.",Hermione Granger
2858,"You know Sirius will want to hear about this. What you saw at the world cup, and the dream.",Hermione Granger
2876,Alastor Moody? The aura.,Hermione Granger
2888,Three sir.,Hermione Granger
2890,Because they are unforgivable. Use of any one of them will...,Hermione Granger
2907,"Stop it! Can't you see it's bothering him, stop it!",Hermione Granger
2911,"There's a reason those curses are unforgivable, and to perform them in a classroom. I mean did you see Neville's face.",Hermione Granger
2912,Neville?,Hermione Granger
2919,It's not going to work.,Hermione Granger
2921,You see this? This is an age line. Dumbledore drew it himself.,Hermione Granger
2923,So a genius like Dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.,Hermione Granger
2936,Go on Harry. Harry for goodness sake.,Hermione Granger
3016,We've already been through enough people why don't you just go and do it yourself? Ughh. What do you want me to say again?,Hermione Granger
3017,Ronald would like me to tell you that Seamus told him that Dean was told by Parvati that Hagrid was looking for you.,Hermione Granger
3019,Uhhh...,Hermione Granger
3020,Dean was told by Parvati that... Please don't ask me say it again. Hagrid's looking for you.,Hermione Granger
3022,I'm NOT an owl!,Hermione Granger
3082,Pssst! Harry? Is that you?,Hermione Granger
3084,How are you feeling? OK? The key is to concentrate. After that you just have to...,Hermione Granger
3091,Oh um.. Sorry I'll just go.,Hermione Granger
3103,Your wand harry! Your wand!,Hermione Granger
3121,Boys.,Hermione Granger
3122,Look at this! I can't believe it she's done it again. Miss Granger a plain but ambitious girl seems to be developing a taste for famous wizards. Her latest prey sources report is none other than the Bulgarian bon-bon Viktor Krum. No word yet on how Harry Potter's taking this latest emotional blow.,Hermione Granger
3131,They're not for Ginny they're for you! Dress robes.,Hermione Granger
3157,It might interest you to know that Neville's already got someone.,Hermione Granger
3160,Oh well spotted.,Hermione Granger
3162,I won't be going alone because believe it or not someone's asked me. And I said yes.,Hermione Granger
3179,What?,Hermione Granger
3181,No of course.,Hermione Granger
3182,She said yes??,Hermione Granger
3218,Hot isn't it? Viktor's gone to get drinks. Care to join us?,Hermione Granger
3220,What's got your wand in a knot?,Hermione Granger
3222,"The enemy?? Who was it wanting his autograph? Besides, the whole point of the tournament is international magical cooperation, to make friends.",Hermione Granger
3227,How dare you! Besides I can take care of myself.,Hermione Granger
3229,What? What? That's what you think?,Hermione Granger
3231,You know the solution then don't you.,Hermione Granger
3233,"Next time there's a ball pluck up the courage and ask me before somebody else does, and not as a last resort.",Hermione Granger
3235,Where have you been? Nevermind! Off to bed both of you.,Hermione Granger
3237,Ron you spoil everything!,Hermione Granger
3241,Harry you told me you'd figured the egg out weeks ago. The task is two days from now.,Hermione Granger
3243,"I wouldn't know, we didn't actually talk about the tournament. Actually we didn't really talk at all, Viktor's more of a physical being. I just mean he's not particularly... Mostly he watches me study. It's a bit annoying actually. You are trying to figure this egg out aren't you?",Hermione Granger
3245,"I mean these tasks are supposed to test you, in the most brutal way they're almost cruel. And um, I'm scared for you. You got by the dragon mostly on nerve, I'm not sure it's going to be enough this time.",Hermione Granger
3265,"Harry, tell me again.",Hermione Granger
3267,"The black lake, that's obvious.",Hermione Granger
3269,"Again obvious, though I must admit potentially problematic",Hermione Granger
3271,"Look Harry, we can do this. The three of us can figure it out.",Hermione Granger
3273,"But sir, the second task is only hours away and...",Hermione Granger
3306,Harry!,Hermione Granger
3308,Are you alright? You must be freezing! Personally I think you behaved admirably.,Hermione Granger
3310,Next to last.,Hermione Granger
3484,Bye.,Hermione Granger
3487,No.,Hermione Granger
3489,Everything's going to change now isn't it?,Hermione Granger
3491,Promise you'll write this summer. Both of you.,Hermione Granger
3493,Harry will won't you?,Hermione Granger
3600,Harry!,Hermione Granger
3602,"Oh, Harry! We've missed you! Are you furious with us, I bet you are!",Hermione Granger
3604,"Come on, inside.",Hermione Granger
3605,"Sorry we haven't written, Harry, but Dumbledore made us promise not to.",Hermione Granger
3609,He was so angry when he heard. It was...scary...,Hermione Granger
3618,"Some of the Order are following known Death Eaters, like Lucious Malfoy.",Hermione Granger
3620,The Order of the Phoenix. Dumbledore started it last time to fight You-Know-Who. He only reorganized it after last term.,Hermione Granger
3664,"They'll have to let you off, Harry... You were defending",Hermione Granger
3669,Would you like a hug?,Hermione Granger
3772,"Harry, Ron and I, we've been named House Prefects! She hands Harry a letter.",Hermione Granger
3773,"What about you, Harry?",Hermione Granger
3774,Are you sure? I would have thought you would get one!,Hermione Granger
3786,I hope he's all right...,Hermione Granger
3812,I wanted to know something about your course aims.,Hermione Granger
3814,But surely the whole point of Defense against the dark arts is practical application?,Hermione Granger
3816,"No, but-",Hermione Granger
3818,But we've got O.W.L.s coming up! You expect us to do the spells with no practice?,Hermione Granger
3834,How can Dumbledore let that horrible woman teach? And when we're taking our OWL tests too!,Hermione Granger
3836,"Well, not us specifically, but definitely Dumbledore and the Order.",Hermione Granger
3843,"Good luck, Harry.",Hermione Granger
3852,"Hey, Harry.",Hermione Granger
3853,Have you seen Ron? I can't find him anywhere.,Hermione Granger
3855,He's been acting fishy all week. He's up to something.,Hermione Granger
3859,He's got to be taken to the hospital wing.,Hermione Granger
3862,That old hag! She's sick!,Hermione Granger
3864,"Harry, I really think you should tell--",Hermione Granger
3867,Hagrid's still not back yet. I hope he's all right.,Hermione Granger
3869,"Harry, you can't write to him! Owls are being intercepted, it isn't safe.",Hermione Granger
3872,You think she's working for You- Know-Who?,Hermione Granger
3874,"I suppose so. He could have her under the Imperious Curse, though it's unlikely. Dumbledore'd know.",Hermione Granger
3893,There we are.,Hermione Granger
3895,"Come on, I'll explain in a minute.",Hermione Granger
3897,These are some people I mentioned my Defense Against the Dark Arts idea with.,Hermione Granger
3903,"Obviously, this will help us pass our O.W.L.s, but more importantly, it gives us the ability to protect ourselves from...Lord Voldemort. Several people jump or wince in fear at the name.",Hermione Granger
3908,"That's true, but I think we're drifting from the purpose--",Hermione Granger
3911,"Well...anyway...uh, I think that in order to learn properly we'll need a teacher.",Hermione Granger
3924,So all in favor of taking lessons from Harry?,Hermione Granger
3925,Where are we going to meet?,Hermione Granger
3928,"Ok, good.",Hermione Granger
3929,"I think we should put our names down, so we know who was here.",Hermione Granger
3931,"Honestly, Ernie, do you think I'd just leave it lying around? Besides, its enchanted.",Hermione Granger
3932,"Also, what should we call ourselves?",Hermione Granger
3935,We'll let you know when we're going,Hermione Granger
3936,I think that went well.,Hermione Granger
3938,"And did you see Cho, Harry?",Hermione Granger
3939,"Well, she couldn't keep her eyes off you, could she?!",Hermione Granger
3951,"No, they couldn't have. The parchment we all signed was enchanted, like I said. No one can betray the D.A. without us knowing.",Hermione Granger
3954,She's hurt!,Hermione Granger
3956,"Harry, you'd better take her to Professor Grubby-Plank. She'll know what to do.",Hermione Granger
3984,"Harry, are you all right?",Hermione Granger
4015,I know something that could cheer you up.,Hermione Granger
4016,Hagrid's back!,Hermione Granger
4113,That's got to be what Surgis Podmore was doing in the Ministry when he was arrested.,Hermione Granger
4116,"It makes perfect sense, Ron. It's got to be something the Ministry's been developing. Something top secret.",Hermione Granger
4117,Look at this. There's been a mass escape from Azkaban.,Hermione Granger
4120,Yes.,Hermione Granger
4166,Hagrid...we've been walking for a good hour.,Hermione Granger
4170,We won't let her!,Hermione Granger
4171,Of course we'll help.,Hermione Granger
4175,"Hagrid, I thought none of them wanted to come!",Hermione Granger
4177,"Oh, why, Hagrid? Why?",Hermione Granger
4246,How do you know?,Hermione Granger
4251,"How'd Voldemort get into the Ministry of Magic without being seen? I mean, he and Sirius are the two most wanted wizards in the world...",Hermione Granger
4253,"It just seems so unlikely, Harry!",Hermione Granger
4257,"Think, Harry! Voldemort knows you! He knows you'd rush off to save Sirius.",Hermione Granger
4261,"Yes, they can, Harry.",Hermione Granger
4263,"Before we do anything, we need to establish that Sirius really isn't at Headquarters. Which means we'll need to break into Umbridge's office.",Hermione Granger
4266,"Mind you, it's got to be really good!",Hermione Granger
4269,We'll also need to keep everyone away from her office.,Hermione Granger
4271,We'll probably only manage five minutes or so.,Hermione Granger
4275,"Break out your Invisibility Cloak, Harry.",Hermione Granger
4320,"No! Please, stop!",Hermione Granger
4323,"We have to tell her, Harry...",Hermione Granger
4326,We were trying to find Professor Dumbledore. We had to tell him...,Hermione Granger
4328,That it's ready. The weapon.,Hermione Granger
4331,"Oh, yes. It's very well hidden.",Hermione Granger
4336,Don't call them that!,Hermione Granger
4351,"Grawp, help us!",Hermione Granger
4354,I thought it worked out rather nicely.,Hermione Granger
4357,I'd imagine we should fly.,Hermione Granger
4363,"There's nothing there, Harry.",Hermione Granger
4380,"Well, let's try a few.",Hermione Granger
