Dialogue ID,Character Name,Dialogue
138,Harry Potter,Goodbye.
139,Rubeus Hagrid,"See, Harry, you're famous!"
140,Harry Potter,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?"
141,Rubeus Hagrid,"I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry."
142,Boy,"It's a world class racing broom. Look at it, it's the new Nimbus 2000! It's the fastest model yet."
143,Harry Potter,"But, Hagrid, how am I to pay for all this? I haven't any money."
144,Rubeus Hagrid,"Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts."
145,Harry Potter,"Uh, Hagrid, what exactly are these things?"
146,Rubeus Hagrid,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal."
147,Merpeople,And does Mr. Harry Potter have his key?
148,Rubeus Hagrid,"Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which."
149,Merpeople,Very well.
150,Griphook,"Vault 687. Lamp, please.  Key please."
151,Rubeus Hagrid,"Didn't think your mum and dad would leave you with nothing now, did ya?"
152,Griphook,Vault 713.
153,Harry Potter,"What's in there, Hagrid?"
154,Rubeus Hagrid,"Can't tell you, Harry. It's Hogwarts business. Very secret."
155,Griphook,Stand back.
156,Rubeus Hagrid,"Best not mention this to anyone, Harry."
157,Harry Potter,I still need...a wand.
158,Rubeus Hagrid,"A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long."
159,Harry Potter,Hello? Hello?
160,Garrick Ollivander,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious."
161,Harry Potter,"Sorry, but what's curious?"
162,Garrick Ollivander,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar."
163,Harry Potter,And...who owned that wand?
164,Garrick Ollivander,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great."
165,Rubeus Hagrid,Harry! Harry! Happy birthday!
166,Harry Potter,Wow.
167,Rubeus Hagrid,"You all right, Harry? You seem very quiet."
168,Harry Potter,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do."
169,Rubeus Hagrid,"First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-..."
170,Harry Potter,Maybe if you wrote it down?
171,Rubeus Hagrid,"No, I can't spell it. All right.  Voldemort."
172,Harry Potter,Voldemort?
173,Rubeus Hagrid,Shh!!
174,Rubeus Hagrid,"It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. Except you."
175,Harry Potter,Me? Voldemort tried to kill...me?
176,Rubeus Hagrid,"Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that."
177,Harry Potter,What happened to...to You-Know-Who?
178,Rubeus Hagrid,"Well, some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous. That's why everybody knows your name. You're the boy who lived."
179,Rubeus Hagrid,"What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket."
180,Harry Potter,"Platform 9&¾? But, Hagrid, there must be a mistake. This says Platform 9&¾. There's no such thing...is there?"
181,Man,Sorry.
182,Harry Potter,"Excuse me, excuse me."
183,Old man,"Right on your left, ma'am."
184,Harry Potter,"Excuse me, sir. Can you tell me where I might find Platform 9&¾?"
185,Old man,"9&¾? Think you're being funny, do ya?"
186,Molly Weasley,"It's the same year after year. Always packed with Muggles, of course."
187,Harry Potter,Muggles?
188,Molly Weasley,"Come on. Platform 9&¾ this way! All right, Percy, you first."
189,Molly Weasley,"Fred, you next."
190,George Weasley,"He's not Fred, I am!"
191,Fred Weasley,"Honestly, woman, you call yourself our mother."
192,Molly Weasley,"Oh, I'm sorry, George."
193,Fred Weasley,I'm only joking. I am Fred.
194,Harry Potter,Excuse me! C-could you tell me how to-
195,Molly Weasley,"How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well.  Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if you're nervous."
196,Ginny Weasley,Good luck.
197,Ron Weasley,"Excuse me, do you mind? Everywhere else is full."
198,Harry Potter,"No, not at all."
199,Ron Weasley,"I'm Ron, by the way. Ron Weasley."
200,Harry Potter,I'm Harry. Harry Potter.
201,Ron Weasley,"So-so it's true? I mean, do you really have the...the..."
202,Harry Potter,The what?
203,Ron Weasley,Scar...?
204,Harry Potter,Oh
205,Ron Weasley,Wicked.
206,Woman,"Anything off the trolley, dears?"
207,Ron Weasley,"No, thanks, I'm all set."
208,Harry Potter,We'll take the lot!
209,Ron Weasley,Whoa!
210,Harry Potter,Bertie Bott's Every Flavour Beans?
211,Ron Weasley,"They mean every flavour! There's chocolate and peppermint, and there's also spinach, liver and tripe. George sweared he got a bogey-flavoured one once!"
212,Harry Potter,"These aren't real chocolate frogs, are they?"
213,Ron Weasley,"It's just a spell. Besides, it's the cards you want. Each pack's got a famous witch or wizard. I got about 500 meself.  Watch it!  Oh, that's rotten luck. They've only got one good jump in them to begin with."
214,Harry Potter,I got Dumbledore!
215,Ron Weasley,I got about 6 of him.
216,Harry Potter,"Hey, he's gone!"
217,Ron Weasley,"Well, you can't expect him to hang around all day, can you?  This is Scabbers, by the way, pathetic, isn't he?"
218,Harry Potter,A little.
219,Ron Weasley,Fred gave me a spell as to turn him yellow. Want to see?
220,Harry Potter,Yeah!
221,Ron Weasley,Ahem. Sun-
222,Hermione Granger,Has anyone seen a toad? A boy named Neville's lost one.
223,Ron Weasley,No.
224,Hermione Granger,"Oh, are you doing magic? Let's see then."
225,Ron Weasley,"Sunshine, daises, butter mellow, turn this stupid fat rat yellow!"
226,Hermione Granger,"Are you sure that's a real spell? Well, it's not very good, is it? Of course I've only tried a few simple spells myself, and they've all worked for me. For example...  Oculus Reparo.  That's better, isn't it? Holy Cricket, you're Harry Potter. I'm Hermione Granger...and you are...?"
227,Ron Weasley,I'm...Ron Weasley.
228,Hermione Granger,"Pleasure. You two better change into your robes. I expect we'll be arriving soon.  You've got dirt, on your nose, by the way, did you know? Just there."
229,Rubeus Hagrid,"Right, then! First years! This way, please! Come on, now, don't be shy! Come on now, hurry up!"
230,Rubeus Hagrid,"Hello, Harry."
231,Harry Potter,"Hey, Hagrid."
232,Ron Weasley,Whoaa!
233,Rubeus Hagrid,"Right then. This way to the boats! Come on, now, follow me."
234,Ron Weasley,Wicked.
235,Minerva McGonagall,"Welcome to Hogwarts. Now, in a few moments, you will pass through these doors and join your classmates. But before you can take your seats, you must be sorted into your houses. They are Gryffindor, Hufflepuff, Ravenclaw, and Slytherin. Now while you're here, your house will be like your family. Your triumphs will earn you house points. Any rule breaking, and you will lose points. At the end of the year, the house with the most points is awarded the house cup."
236,Neville Longbottom,Trevor!  Sorry.
237,Minerva McGonagall,The sorting ceremony will begin momentarily.
238,Draco Malfoy,"It's true then, what they're saying on the train. Harry Potter has come to Hogwarts.  This is Crabbe and Goyle. And I'm Malfoy...Draco Malfoy.  Think my name's funny, do you? No need to ask yours. Red hair, and a hand-me-down robe? You must be a Weasley. Well, soon find that some wizarding families are better than others, Potter. Don't want to go making friends with the wrong sort. I can help you there."
239,Harry Potter,"I think I can tell who the wrong sort are for myself, thanks."
240,Minerva McGonagall,We're ready for you now. Follow me.
241,Hermione Granger,"It's not real, the ceiling. It's just bewitched to look like the night sky. I read about it in Hogwarts: A History."
242,Minerva McGonagall,"Will you wait along here, please? Now, before we begin, Professor Dumbledore would like to say a few words."
243,Albus Dumbledore,"I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you."
244,Minerva McGonagall,"When I call your name, you will come forth, I shall place the sorting hat on your head, and you will be sorted into your houses. Hermione Granger."
245,Hermione Granger,"Oh, no. Okay, relax."
246,Ron Weasley,"Mental that one, I'm telling you."
247,Sorting Hat,"Ah, right then...hmm...right. Okay...Gryffindor!!"
248,Minerva McGonagall,Draco Malfoy.
249,Sorting Hat,SLYTHERIN!
250,Ron Weasley,There isn't a witch or wizard who went bad who wasn't in Slytherin.
251,Minerva McGonagall,Susan Bones.
252,Harry Potter,Ahh!
253,Ron Weasley,"Harry, what is it?"
254,Harry Potter,"Nothing... nothing, I'm fine."
255,Sorting Hat,Let's see...I know...Hufflepuff!
256,Minerva McGonagall,Ronald Weasley.
257,Sorting Hat,Ha! Another Weasley. I know just what to do with you... Gryffindor!!
258,Minerva McGonagall,Harry Potter.
259,Sorting Hat,"Hmm...difficult, very difficult. Plenty of courage I see, not a bad mind, either. There's talent, oh yes, and a thirst to prove yourself. But where to put you?"
260,Harry Potter,Not Slytherin. Not Slytherin.
261,Sorting Hat,"Not Slytherin, eh? Are you sure? You could be great, you know. It's all here in your head. And Slytherin will help you on the way to greatness! There's no doubt about that. No?"
262,Harry Potter,Not Slytherin...anything but Slytherin.
263,Sorting Hat,"Well, if you're sure... better be... GRYFFINDOR!!"
264,Fred Weasley,We got Potter! We got Potter!
265,George Weasley,We got Potter! We got Potter!
266,Minerva McGonagall,"Your attention, please."
267,Albus Dumbledore,Let the feast...begin.
268,Harry Potter,Wow.
269,Seamus Finnigan,I'm half and half. Me dad's a Muggle. Mam's a witch. Bit of a nasty shock for him when he found out.
270,Harry Potter,"Say, Percy, who's that teacher talking to Professor Quirrell?"
271,Percy Weasley,"Oh, that's Professor Snape, head of Slytherin house."
272,Harry Potter,What's he teach?
273,Percy Weasley,Potions. But everyone knows it's the Dark Arts he fancies. He's been after Quirrell's job for years.
274,Ron Weasley,Ahh!
275,Nearly Headless Nick,Hello! How are you? Welcome to Gryffindor.
276,Bloody Baron,Whoo-hoo-hoo!
277,Girl,"Look, it's the Bloody Baron!"
278,Percy Weasley,"Hello, Sir Nicholas. Have a nice summer?"
279,Nearly Headless Nick,"Dismal. Once again, my request to join the headless hunt has been denied."
280,Ron Weasley,I know you! You're Nearly Headless Nick!
281,Nearly Headless Nick,I prefer Sir Nicholas if you don't mind.
282,Hermione Granger,Nearly headless? How can you be nearly headless?
283,Nearly Headless Nick,Like this.
284,Ron Weasley,Ahh!
285,Percy Weasley,"Gryffindors, follow me, please. Keep up. Thank you."
286,Boy,"Ravenclaws, follow me. This way."
287,Percy Weasley,"This is the most direct path to the dormitories. Oh, and keep an eye on the staircases...they like to change."
288,Percy Weasley,"Keep up, please, and follow me. Quickly now, come on. Come on."
289,Neville Longbottom,"Seamus, that picture's moving!"
290,Ron Weasley,"Look at that one, Harry!"
291,Harry Potter,I think she fancies you.
292,Girl,"Oh, look! Look! Who's that girl?"
293,Shrunken head,Welcome to Hogwarts.
294,Girl,Who's that?
295,The Fat Lady,Password?
296,Percy Weasley,"Caput Draconis.  Follow me, everyone. Keep up, quickly, come on."
297,Girl,"Oh, wow."
298,Percy Weasley,"Gather 'round here. Welcome to the Gryffindor Common Room. Boy's dormitories, upstairs and down to your left. Girls, the same on your right. You'll find that your belongings have already been brought up."
299,Ron Weasley,"Whew, we made it. Can you imagine the look on McGonagall's face if we were late?"
300,Ron Weasley,That was bloody brilliant.
301,Minerva McGonagall,"Thank you for that assessment, Mr. Weasley. Perhaps if I were to transfigure Mr. Potter and yourself into a pocketwatch, that way one of you might be on time."
302,Harry Potter,We got lost.
303,Minerva McGonagall,Then perhaps a map? I trust you don't need one to find your seats.
304,Severus Snape,"There will be no foolish wand waving or silly incantations in this class. As such, I don't expect many of you to appreciate the subtle science and exact art that is potion making. However, for those select few...  who possess the predisposition, I can teach you how to bewitch the mind and ensnare the senses. I can tell you how to bottle fame, brew glory and even put a stopper...  in death.  Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confidant enough to not...pay...attention.  Mr. Potter. Our...new...celebrity. Tell me, what would I get if I added powdered root of asphodel to an infusion of wormwood?  You don't know? Well, let's try again. Where, Mr. Potter, would you look if I asked you to find me a bezoar?"
305,Harry Potter,"I don't know, sir."
306,Severus Snape,And what is the difference between monkshood and wolfbane?
307,Harry Potter,"I don't know, sir."
308,Severus Snape,"Pity. Clearly, fame isn't everything...  is it, Mr. Potter?"
309,Harry Potter,"Clearly, Hermione knows. Since it's a pity not to ask her."
310,Severus Snape,"Silence.  And put her hand down, you silly girl.  For your information, Potter... asphodel and wormwood make a sleeping potion so powerful, it is known as the Draught of Living Death. A bezoar is a stone taken from the stomach of a goat and it will save you from most poisons. As for monkshood and wolfsbane, they are the same plant, which also goes by the name of aconite.  Well?  Why aren't you all copying this down?  And Gryffindors, note that five points, will be taken from your house... for your classmate's cheek."
311,Seamus Finnigan,"Eye of rabbit, harp string hum. Turn this water, into rum.  Eye of rabbit, harp string hum..."
312,Harry Potter,What's Seamus trying to do to that glass of water?
313,Ron Weasley,"Turn it into rum. Actually managed a weak tea yesterday, before-"
314,Ron Weasley,Ah. Mail's here!
315,Harry Potter,Can I borrow this?  Thanks.
316,Seamus Finnigan,"Hey, look! Neville's got a Remembrall!"
317,Hermione Granger,"I've read about those. When the smoke turns red,  it means you've forgotten something."
318,Neville Longbottom,"The only problem is, I can't remember what I've forgotten."
319,Harry Potter,"Hey, Ron, somebody broke into Gringotts, listen.  Believed to be the work of dark witches or wizards unknown, Gringotts goblins, while acknowledging the breach, insist that nothing was taken. The vault in question, number 713, had in fact been emptied earlier that same day. That's odd. That's the vault Hagrid and I went to."
320,Rolanda Hooch,"Good afternoon, class."
321,Class,"Good afternoon, Madam Hooch."
322,Rolanda Hooch,"Good afternoon, Amanda, good afternoon.  Welcome to your first flying lesson. Well, what are you waiting for? Everyone step up to the left side of their broomstick. Come on now, hurry up. Stick your right hand over the broom and say, up!"
323,Class,Up!
324,Harry Potter,Wow.
325,Draco Malfoy,Up!
326,Rolanda Hooch,With feeling!
327,Hermione Granger,Up. Up. Up. Up.
328,Ron Weasley,"Up!!  Ooh!  Shut up, Harry."
329,Rolanda Hooch,"Now, once you've got hold of your broom, I want you to mount it. And grip it tight, you don't want to be sliding off the end.  When I blow my whistle, I want each of you to kick off from the ground, hard. Keep your broom steady, hover for a moment, and then lean forward slightly and touch back down. On my whistle...3...2..."
330,Neville Longbottom,Oh...
331,Rolanda Hooch,Mr. Longbottom.
332,Girl,"Neville, what are you doing?"
333,Students,Neville...Neville...
334,Boy,"We're not supposed to take off, yet."
335,Rolanda Hooch,M-M-Mr. Longbottom! Mr. Longbottom!
336,Neville Longbottom,AHH!
337,Rolanda Hooch,Mr. Longbottom!
338,Neville Longbottom,Down! Down! Ahhhh!
339,Harry Potter,Neville!
340,Neville Longbottom,Help!!!
341,Rolanda Hooch,Come back down this instant!
342,Neville Longbottom,AHH!
343,Neville Longbottom,Help!
344,Rolanda Hooch,Mr. Longbottom-!
345,Neville Longbottom,Ahhhh! Whoa! Ahhh!  Oh. Ah...help!  Ahh!
346,Rolanda Hooch,"Everyone out of the way!  Come on, get up."
347,Girl,Is he alright?
348,Neville Longbottom,Owowowow.
349,Rolanda Hooch,"Oh, oh, oh, oh dear. It's a broken wrist. Tch, tch, tch. Good boy, come on now, up you get.  Everyone's to keep their feet firmly on the ground while I take Mr. Longbottom to the hospital wing. Understand? If I see a single broom in the air, the one riding it will find themselves out of Hogwarts before they can say, Quidditch."
350,Draco Malfoy,"Did you see his face? Maybe if the fat lump had given this a squeeze, he'd have remembered to fall on his fat arse."
351,Harry Potter,"Give it here, Malfoy."
352,Draco Malfoy,"No. I think I'll leave it somewhere for Longbottom to find.  How 'bout up on the roof?  What's the matter, Potter? Bit beyond your reach?"
353,Hermione Granger,"Harry, no way! You heard what Madam Hooch said! Besides, you don't even know how to fly.  What an idiot."
354,Harry Potter,"Give it here, Malfoy, or I'll knock you off your broom!"
355,Draco Malfoy,"Is that so?  Have it your way, then!"
356,Boy,"Good job, Harry!"
357,Boy 2,"Oh, that was wicked, Harry."
358,Minerva McGonagall,Harry Potter?  Follow me.
359,Quirinus Quirrell,An iguana s-such as this is...
360,Minerva McGonagall,You wait here.
361,Quirinus Quirrell,... an essential in-gredient.
362,Minerva McGonagall,"Professor Quirrell, excuse me, excuse me. Could I borrow Wood for a moment, please?"
363,Quirinus Quirrell,"Oh. Y-yes, of course.  And the vampire b-bat..."
364,Minerva McGonagall,"Potter, this is Oliver Wood. Wood, I have found you a Seeker!"
365,Nearly Headless Nick,Have you heard? Harry Potter's the new Gryffindor Seeker. I always knew he'd do well.
366,Ron Weasley,Seeker? But first years never make their house teams! You must be the youngest Quidditch player in...
367,Harry Potter,"A century, according to McGonagall."
368,Fred Weasley,"Hey, well done, Harry, Wood's just told us!"
369,Ron Weasley,"Fred and George are on the team, too. Beaters."
370,George Weasley,"Our job is to make sure that you don't get bloodied up too bad. Can't make any promises, of course. Rough game, Quidditch."
371,Fred Weasley,Brutal. But no one's died in years. Someone will vanish occasionally...
372,George Weasley,But they'll turn up in a month or two!
373,Ron Weasley,"Oh, go on, Harry, Quidditch is great. Best game there is! And you'll be great, too!"
374,Harry Potter,But I've never even played Quidditch. What if I make a fool of myself?
375,Hermione Granger,You won't make a fool of yourself. It's in your blood.
376,Ron Weasley,"Whoa. Harry, you never told me your father was a Seeker, too."
377,Harry Potter,I-I didn't know.
378,Ron Weasley,"I'm telling you, it's spooky. She knows more about you than you do."
379,Harry Potter,Who doesn't?
380,Ron Weasley,Ahh!
381,Harry Potter,What's happening?
382,Hermione Granger,"The staircases change, remember?"
